id,title,updated,link_href,num_of_reports,time_utc,time_utc_at_epicenter,location_coordinates,depth_string,depth_km,depth_mi,georss_point,georss_elev,cat_age,cat_mag,cat_mag_shaking,cat_mag_damage,cat_contributor,cat_author
urn:earthquake-usgs-gov:us:6000kw2y,M 5.4 - Southwest Indian Ridge,2023-07-28T09:16:08.827Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw2y,,2023-07-28 07:13:15 UTC,2023-07-28 07:13:15 UTC,30.506°S 59.874°E,10.00 km (6.21 mi),10.00,6.21,-30.5055 59.8736,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kw2w,M 5.6 - Southwest Indian Ridge,2023-07-28T09:06:08.545Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw2w,,2023-07-28 07:03:06 UTC,2023-07-28 07:03:06 UTC,30.463°S 59.839°E,10.00 km (6.21 mi),10.00,6.21,-30.4629 59.8394,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:pr:71419418,"M 2.9 - 6 km SW of Guánica, Puerto Rico",2023-07-28T04:06:11.670Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419418,,2023-07-28 03:50:55 UTC,2023-07-28 03:50:55 UTC,17.938°N 66.954°W,6.52 km (4.05 mi),6.52,4.05,17.938 -66.954,-6520,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kw25,M 4.6 - Eastern Xizang,2023-07-28T03:44:34.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw25,,2023-07-28 03:20:30 UTC,2023-07-28 03:20:30 UTC,30.281°N 94.741°E,10.00 km (6.21 mi),10.00,6.21,30.2811 94.7409,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:pr:71419393,"M 2.7 - 4 km SSW of Guánica, Puerto Rico",2023-07-28T03:25:38.520Z,https://earthquake.usgs.gov/earthquakes/eventpage/pr71419393,,2023-07-28 03:15:18 UTC,2023-07-28 03:15:18 UTC,17.933°N 66.916°W,14.62 km (9.08 mi),14.62,9.08,17.933 -66.9161666666667,-14620,Past Day,Magnitude 2,Weak,None,pr,pr
urn:earthquake-usgs-gov:us:6000kw1v,M 4.7 - South Sandwich Islands region,2023-07-28T02:44:40.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1v,,2023-07-28 02:11:22 UTC,2023-07-28 02:11:22 UTC,58.169°S 23.771°W,10.00 km (6.21 mi),10.00,6.21,-58.1685 -23.7711,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kw1y,M 4.9 - south of the Mariana Islands,2023-07-28T02:39:30.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1y,,2023-07-28 02:06:47 UTC,2023-07-28 02:06:47 UTC,11.591°N 142.707°E,10.00 km (6.21 mi),10.00,6.21,11.5913 142.7067,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kw1s,"M 4.8 - 94 km SSE of Sola, Vanuatu",2023-07-28T02:24:39.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1s,,2023-07-28 02:06:12 UTC,2023-07-28 02:06:12 UTC,14.654°S 167.907°E,10.00 km (6.21 mi),10.00,6.21,-14.6541 167.9068,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kw1m,"M 4.0 - 9 km SSW of Sánchez, Dominican Republic",2023-07-28T13:13:30.031Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1m,18,2023-07-28 01:52:21 UTC,2023-07-28 01:52:21 UTC,19.150°N 69.656°W,84.45 km (52.47 mi),84.45,52.47,19.1495 -69.6555,-84448,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kw1l,"M 4.8 - 27 km SSW of Palora, Ecuador",2023-07-28T03:51:34.833Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1l,3,2023-07-28 01:38:25 UTC,2023-07-28 01:38:25 UTC,1.939°S 78.045°W,139.86 km (86.90 mi),139.86,86.90,-1.9386 -78.0446,-139855,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:us:6000kw1d,"M 2.8 - 75 km S of Naalehu, Hawaii",2023-07-28T00:18:22.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw1d,,2023-07-28 00:10:16 UTC,2023-07-28 00:10:16 UTC,18.390°N 155.609°W,10.00 km (6.21 mi),10.00,6.21,18.3895 -155.6086,-10000,Past Day,Magnitude 2,Weak,None,us,us
urn:earthquake-usgs-gov:us:6000kw0u,"M 5.0 - 206 km NNE of Shi Yomi, India",2023-07-28T00:27:47.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw0u,,2023-07-27 22:13:55 UTC,2023-07-27 22:13:55 UTC,30.346°N 94.837°E,10.00 km (6.21 mi),10.00,6.21,30.3462 94.8374,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kw0t,"M 5.0 - 88 km ENE of Port-Olry, Vanuatu",2023-07-27T22:28:46.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw0t,,2023-07-27 22:10:37 UTC,2023-07-27 22:10:37 UTC,14.710°S 167.820°E,10.00 km (6.21 mi),10.00,6.21,-14.7098 167.8199,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kw09,M 5.1 - central Mid-Atlantic Ridge,2023-07-27T20:32:50.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw09,,2023-07-27 20:13:11 UTC,2023-07-27 20:13:11 UTC,3.250°N 31.455°W,10.00 km (6.21 mi),10.00,6.21,3.2499 -31.4546,-10000,Past Day,Magnitude 5,Moderate,Very light,us,us
urn:earthquake-usgs-gov:us:6000kw0e,M 4.9 - central Mid-Atlantic Ridge,2023-07-27T21:03:48.040Z,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kw0e,,2023-07-27 20:08:52 UTC,2023-07-27 20:08:52 UTC,3.428°N 31.471°W,10.00 km (6.21 mi),10.00,6.21,3.4281 -31.4712,-10000,Past Day,Magnitude 4,Light,None,us,us
urn:earthquake-usgs-gov:nc:73917366,"M 2.9 - 1 km ESE of Almanor, CA",2023-07-28T03:39:39.970Z,https://earthquake.usgs.gov/earthquakes/eventpage/nc73917366,17,2023-07-27 17:59:26 UTC,2023-07-27 17:59:26 UTC,40.215°N 121.167°W,2.80 km (1.74 mi),2.80,1.74,40.2148333 -121.1673333,-2800,Past Day,Magnitude 2,Weak,None,nc,nc
urn:earthquake-usgs-gov:ak:0239ka7c7j,"M 2.7 - 68 km NNE of Chignik, Alaska",2023-07-28T03:34:52.740Z,https://earthquake.usgs.gov/earthquakes/eventpage/ak0239ka7c7j,,2023-07-27 17:50:31 UTC,2023-07-27 17:50:31 UTC,56.899°N 158.168°W,0.00 km (0.00 mi),0.00,0.00,56.899 -158.1682,0,Past Day,Magnitude 2,Weak,None,ak,ak
urn:earthquake-usgs-gov:hv:73499362,"M 2.5 - 5 km NW of Laupāhoehoe, Hawaii",2023-07-28T01:51:59.890Z,https://earthquake.usgs.gov/earthquakes/eventpage/hv73499362,,2023-07-27 17:40:56 UTC,2023-07-27 17:40:56 UTC,20.015°N 155.274°W,42.11 km (26.17 mi),42.11,26.17,20.0151666666667 -155.274,-42110,Past Day,Magnitude 2,Weak,None,hv,hv
